index	pattern	head_index
114	(FRAG NP , VP , NP)	1
115	(FRAG ADJP , NP)	1
116	(FRAG RB ADJP .)	2
117	(FRAG RB : SBAR .)	1
118	(FRAG NP : NP)	1
119	(FRAG CC RB SBAR)	1
120	(FRAG WHADVP ADJP)	2
121	(FRAG NP NP PP S .)	1
122	(FRAG SBAR , INTJ . VP .)	1
123	(FRAG CC RB PP)	1
124	(FRAG FRAG : FRAG : FRAG : FRAG .)	1
125	(FRAG X : NP)	1
126	(FRAG `` NP , NP '')	2
127	(FRAG CONJP S)	1
128	(FRAG CC , PP , NP .)	1
129	(FRAG PP , `` NP . '')	1
130	(FRAG WHADJP)	1
131	(FRAG PP , NP , '')	1
132	(FRAG ADJP , VP .)	1
133	(FRAG CC RB NP .)	1
134	(FRAG ADJP ADVP)	1
135	(FRAG PP , ADJP)	1
136	(FRAG INTJ , ADVP .)	3
137	(FRAG PP , INTJ .)	1
138	(FRAG PP : S . '')	1
139	(FRAG NNS , NNS ,)	1
140	(FRAG CC VP .)	1
141	(FRAG WHNP SBAR)	1
142	(FRAG NP : SINV .)	1
143	(FRAG NP CC S . '')	1
144	(FRAG : ADVP NP)	3
145	(FRAG PP RB SBAR . -RRB-)	3
146	(FRAG NP : RB NP .)	1
147	(FRAG IN RB NP , RB NP)	3
148	(FRAG RB)	1
149	(FRAG NP ADJP)	1
150	(FRAG ADVP ADJP)	2
151	(FRAG NP S .)	1
152	(FRAG NP , SBAR X NP .)	1
153	(FRAG WHADVP PP)	1
154	(FRAG ADVP RB)	1
155	(FRAG CC ADJP . '')	1
156	(FRAG FRAG CC FRAG)	1
157	(FRAG ADJP , NP .)	1
158	(FRAG RB NP , RB RB NP . '')	2
159	(FRAG `` NP , CC S .)	2
160	(FRAG : CC RB ADVP PP)	2
161	(FRAG NP , ADVP)	1
162	(FRAG NP , PP , PP .)	1
163	(FRAG PP ,)	1
164	(FRAG FRAG , CC FRAG .)	1
165	(FRAG ADVP ADJP : NP .)	2
166	(FRAG `` NP , '' PRN , `` NP .)	2
167	(FRAG S , SBAR .)	1
168	(FRAG SBARQ)	1
169	(FRAG CC RB NP)	1
170	(FRAG CC ADVP NP)	1
171	(FRAG NP CC RB)	1
172	(FRAG X PP)	1
173	(FRAG ADVP , CC S .)	1
174	(FRAG NP X)	1
175	(FRAG UCP)	1
176	(FRAG NP S NP)	1
177	(FRAG CC WP IN NP .)	1
178	(FRAG -LRB- NP : S . '' -RRB-)	2
179	(FRAG FRAG , CC FRAG)	1
180	(FRAG WHNP S)	2
181	(FRAG SBAR , ADVP .)	3
182	(FRAG `` ADJP . '')	2
183	(FRAG NP ADJP .)	1
184	(FRAG VP : NP , NP , PP .)	1
185	(FRAG WHNP ADVP PP .)	1
186	(FRAG IN SBAR .)	1
187	(FRAG NP RB VP .)	3
188	(FRAG ADJP NP PP .)	1
189	(FRAG RB WP SBAR .)	2
190	(FRAG WHPP)	1
191	(FRAG FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : CC FRAG)	1
192	(FRAG NP ADJP ADVP .)	1
193	(FRAG , CC ADVP PP)	2
194	(FRAG ADVP , FRAG , S :)	3
195	(FRAG DT JJ)	2
196	(FRAG IN RB NP , RB PP)	6
197	(FRAG S , NP .)	1
198	(FRAG DT INTJ NP)	2
199	(FRAG PP : `` S : .)	1
200	(FRAG NP : PP)	1
201	(FRAG WP RB)	1
202	(FRAG VP : NP , NP , PP , PP .)	1
203	(FRAG NP , CC SBAR .)	1
204	(FRAG NP PP .)	1
205	(FRAG RB SBAR , PP . '')	2
