index	pattern	head_index
73	(UCP `` NP CC ADJP)	2
74	(UCP NP , NP , CC ADVP PP)	1
75	(UCP SBAR NP)	1
76	(UCP NN , JJ , JJ CC NN)	1
77	(UCP NP , CC PP)	1
78	(UCP ADJP : CC PP)	1
79	(UCP S CC SBAR)	1
80	(UCP NNP CC NNP NNP)	4
81	(UCP NN , JJ CC NN NNS)	6
82	(UCP ADJP , CC NP)	4
83	(UCP ADJP CC NP NP)	1
84	(UCP ADJP , CC RB ADVP)	1
85	(UCP VBG , JJ CC JJ)	1
86	(UCP `` ADJP , '' NP)	2
87	(UCP NP CC ADVP ADVP)	1
88	(UCP ADJP , ADJP CC VP)	1
89	(UCP PP CC ADVP ADJP)	1
91	(UCP ADVP , CC NP)	1
92	(UCP PP : S)	1
93	(UCP VP , CC ADJP ,)	1
94	(UCP NP , NP , NP CC NP , PP)	1
95	(UCP JJ CC NP)	1
96	(UCP PP CC RB SBAR)	1
97	(UCP SBAR , CC PP)	1
98	(UCP NP CC PRN PP)	1
99	(UCP VP , CC PP)	1
100	(UCP NNP CD)	1
101	(UCP ADJP CC ADJP PP)	1
102	(UCP PP , S)	1
103	(UCP CC PP CC ADJP)	2
104	(UCP PP , CONJP NP)	1
105	(UCP PP , S CC PP)	1
106	(UCP RB PP , CC SBAR)	2
107	(UCP RB ADJP , ADJP , ADJP , CC NP)	2
108	(UCP S , CC SINV .)	1
109	(UCP ADJP TO ADVP)	1
110	(UCP JJ NNS CC JJ)	2
111	(UCP PP PRN)	1
112	(UCP SBAR CC S)	1
113	(UCP ADVP , PP)	1
114	(UCP DT ADJP CC RB PP)	2
115	(UCP JJ CC RB)	1
116	(UCP NP : ADJP)	1
117	(UCP PP , CC RB ADJP)	1
118	(UCP NN , NNS , JJ CC NNS)	1
119	(UCP PP , PP CC ADVP)	1
120	(UCP S CC ADVP)	1
121	(UCP NP , CC SBAR)	1
122	(UCP WHADVP CC IN)	1
123	(UCP NP CC RRC)	1
124	(UCP RB ADVP , CC NP)	2
125	(UCP NN , JJ , NN CC NN)	1
126	(UCP NN CC NN NNS)	4
127	(UCP ADJP)	1
128	(UCP RB S , CC SBAR)	2
129	(UCP SBAR , CC S)	1
130	(UCP NN , JJ , NN CC NNS)	1
131	(UCP ADJP , ADJP , ADJP , ADJP , CC PP)	1
132	(UCP JJ JJ NN NN CC JJ NNS)	4
133	(UCP CONJP PP CC ADVP)	2
134	(UCP ADJP , PP CC NP)	1
135	(UCP NP , NP CC ADVP)	1
136	(UCP SBAR : PP)	1
137	(UCP NP , ADJP , X , CC VP)	1
138	(UCP ADVP , CC PP)	1
139	(UCP NN , JJ NN , NNS CC NN)	1
140	(UCP NN , JJ CC NN)	1
141	(UCP JJ NN CC JJ)	2
142	(UCP : S .)	2
143	(UCP NN , NN CC ADJP)	1
144	(UCP NN RB RB IN JJ)	1
145	(UCP WHADVP CC PP)	1
146	(UCP S : FRAG .)	1
147	(UCP NNS CC JJ)	1
148	(UCP NNP NNP CC JJ)	2
149	(UCP SBARQ : NP .)	1
150	(UCP NNP NNP , JJ CC JJ)	2
